,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,Website
0,899.0,1539.157894736842,2313.947368421052,6372.578947368421,14195.473684210525,23561.0,31755.263157894737,45354.15789473684,59816.000000000015,75730.99999999999,93916.84210526315,102119.7368421053,133418.0,173867.52631578938,202438.4210526316,246509.0,276375.15789473685,272229.15789473685,263264.0,www.bbc.co.uk
1,-193.84210526315778,1810.0000000000007,1444.4736842105256,1896.3157894736833,2385.052631578946,18114.947368421053,32989.10526315788,38700.10526315789,59198.052631578874,96716.94736842094,121926.8947368422,134615.15789473697,145859.42105263172,180198.5263157892,242113.42105263166,290466.05263157864,273857.3157894744,235230.2631578951,196579.0,www.bbc.co.uk
2,-48.78947368421056,2490.0,2127.5263157894733,1783.2105263157891,1594.7368421052615,1453.9473684210523,19601.10526315789,37872.36842105263,49038.157894736876,70217.84210526325,100745.52631578945,118657.21052631582,165223.84210526315,179572.36842105267,203420.89473684196,198792.78947368416,190325.10526315798,181879.52631578932,173371.0,www.bbc.co.uk
3,-375.15789473684225,1779.473684210527,2625.526315789474,1953.1578947368412,2386.473684210533,11260.1052631579,18420.105263157897,26413.473684210538,39483.15789473687,50723.578947368434,69254.73684210527,87314.21052631582,106359.05263157918,157418.21052631584,181277.26315789475,190745.26315789507,260450.52631579022,248842.631578947,179130.0,www.bbc.co.uk
4,-48.78947368421056,2490.0,2127.5263157894733,1783.2105263157891,1597.1052631578932,15921.210526315794,28081.8947368421,38415.52631578947,55738.84210526314,67970.15789473677,93653.47368421053,120704.7894736842,131380.63157894745,171701.52631578944,212732.57894736846,227228.84210526315,225244.47368421056,223282.21052631576,221257.0,www.bbc.co.uk
5,-266.3684210526317,1469.9999999999995,1916.8947368421059,2515.2631578947376,2187.8421052631584,7482.263157894731,20956.94736842108,39060.36842105265,52724.947368421046,63763.0,88594.94736842104,109178.57894736838,163152.00000000017,210337.00000000017,248131.47368421042,256642.73684210525,254879.57894736843,257116.2105263158,259348.0,www.bbc.co.uk
6,707.9999999999993,1707.2631578947373,2526.9473684210534,7743.421052631578,16369.315789473681,27874.57894736842,39508.263157894726,47599.1052631579,68148.36842105266,86627.94736842101,84569.84210526322,123166.15789473688,161867.63157894704,168929.52631578938,227203.94736842104,249951.31578947368,284351.10526315804,281971.8421052631,267995.0,www.bbc.co.uk
7,-121.31578947368416,2150.0,1623.2105263157905,1277.3684210526312,1711.8947368421054,10972.5789473684,25411.84210526315,44656.36842105263,54138.368421052626,75593.63157894737,109512.89473684214,139158.05263157905,165396.4736842106,164882.89473684217,192869.31578947368,234269.8421052632,226129.5263157895,218042.05263157896,209911.0,www.bbc.co.uk
8,-157.57894736842113,1979.9999999999995,1371.0526315789468,1586.8421052631584,2052.2631578947376,19011.842105263164,36846.157894736854,47535.210526315794,54943.00000000002,68987.21052631583,102542.36842105258,138667.84210526326,154056.894736842,152818.57894736849,166780.26315789478,161072.89473684228,197127.42105263198,233250.15789473744,269339.0,www.bbc.co.uk
9,-266.3684210526317,1469.9999999999995,1916.8947368421059,2515.2631578947376,2187.8421052631584,7482.263157894731,20956.94736842108,39060.36842105265,55847.8947368421,69977.1052631579,92592.63157894733,119672.05263157893,163574.7368421054,186327.94736842116,197384.31578947368,230416.10526315783,220768.00000000003,233142.4210526316,245512.0,www.bbc.co.uk
10,2035.2631578947357,1837.5789473684185,25732.105263157908,72043.52631578944,104195.84210526315,177306.36842105252,259216.6842105264,353466.5263157893,371150.21052631567,440081.15789473685,458914.7368421054,469843.5789473689,524317.4736842125,605567.7894736853,720682.1052631575,697982.2105263141,655203.1052631551,640717.1578947336,599446.0,www.cnbc.com
11,2479.1052631578937,2894.6842105263136,13691.052631578943,41497.15789473684,77359.78947368423,98239.78947368408,222384.84210526315,308433.052631579,345378.68421052635,409470.05263157893,427267.57894736854,445205.15789473744,494696.8947368428,525716.3157894737,568148.1052631581,604555.4736842109,627375.7894736842,661176.0526315788,666167.0,www.cnbc.com
12,1097.2105263157882,3953.0000000000045,28734.21052631579,72805.57894736844,126184.94736842101,183992.31578947365,255476.10526315795,351725.78947368433,374878.0526315792,443344.57894736907,505595.7368421047,507208.21052631584,566305.1052631579,624182.4736842104,634991.47368421,672271.5263157894,725661.5789473682,737348.2105263148,691705.0,www.cnbc.com
13,527.6315789473697,23516.999999999985,73766.68421052626,158745.63157894733,232172.15789473694,343299.789473684,425955.52631578903,421798.15789473697,468495.947368421,500871.1052631576,612210.6842105258,539643.0000000007,626946.4736842095,658780.6315789472,718936.3157894736,690872.1578947376,767212.3684210512,812688.0526315792,813830.0,www.cnbc.com
14,764.1578947368398,22450.210526315794,83812.1052631579,152503.0526315791,244919.10526315772,302786.8947368422,451000.3684210545,371655.42105262977,504995.63157894777,546910.1052631568,599714.5263157893,596667.8421052634,741097.8421052629,702090.578947367,763401.421052631,809402.57894737,897610.8947368402,859110.2631578953,965765.0,www.cnbc.com
15,2534.21052631579,11665.999999999998,63035.0526315789,113208.31578947365,173934.4210526316,285167.6315789471,403691.9473684212,467905.31578947377,497089.2631578947,539836.4736842106,578768.1052631579,629782.7894736838,688041.8421052621,746383.7368421039,821269.9473684195,893575.526315788,985484.4736842094,1079645.1578947362,1114986.0,www.cnbc.com
16,1554.7894736842118,5697.6315789473665,42842.47368421052,87462.68421052635,129300.1578947366,219051.31578947368,294017.6315789474,372058.89473684167,505695.99999999924,561531.0526315798,555986.421052632,567356.9473684211,618985.3157894736,674405.3157894735,703547.8947368425,693872.7368421061,732318.3684210529,777970.4736842099,800505.0,www.cnbc.com
