,num_pkts_uplink,num_pkts_downlink,total_bytes_uplink,min_pkt_size_uplink,max_pkt_size_uplink,mean_pkt_size_uplink,std_pkt_size_uplink,total_bytes_downlink,min_pkt_size_downlink,max_pkt_size_downlink,mean_pkt_size_downlink,std_pkt_size_downlink,min_iat_uplink,max_iat_uplink,mean_iat_uplink,std_iat_uplink,min_iat_downlink,max_iat_downlink,mean_iat_downlink,std_iat_downlink,website
0,93,95,5635.0,40.0,569.0,60.59139784946237,54.773890272952784,557316.0,52.0,17380.0,5866.484210526316,4729.443590734489,7e-06,0.057974,0.0021201630434782605,0.006467495441112967,1e-06,0.069372,0.001949436170212766,0.007331945509770757,www.bbc.co.uk
1,90,90,5479.0,40.0,569.0,60.87777777777778,55.66630671125406,557031.0,52.0,17380.0,6189.233333333334,4931.1617111334235,7e-06,0.056996,0.0019895842696629213,0.006307859258692843,0.0,0.067871,0.0018618426966292138,0.0072989466206041685,www.bbc.co.uk
2,107,110,6363.0,40.0,569.0,59.467289719626166,51.1116642443813,558073.0,52.0,11604.0,5073.390909090909,3572.7714452391992,4e-06,0.066857,0.0019450754716981132,0.006753045199087331,0.0,0.077736,0.0017864587155963303,0.007526826576064454,www.bbc.co.uk
3,144,154,8302.0,40.0,569.0,57.65277777777778,44.2863093407793,2077535.0,52.0,56524.0,13490.487012987012,16000.939031364727,4e-06,0.06,0.0013585874125874127,0.005272037689451336,1e-06,0.070721,0.0011971437908496732,0.005886404247588699,www.cnbc.com
4,141,141,8146.0,40.0,569.0,57.773049645390074,44.75047785767629,2076858.0,52.0,56524.0,14729.489361702128,17580.78144273985,3e-06,0.056624,0.0014320642857142856,0.005068768894292901,1e-06,0.067403,0.001351142857142857,0.005833882549841426,www.cnbc.com
5,134,135,7782.0,40.0,569.0,58.07462686567164,45.89291669191775,2076546.0,52.0,56524.0,15381.822222222223,17751.419511398282,5e-06,0.054687,0.0014135789473684209,0.005070482708493264,1e-06,0.065539,0.0013196940298507464,0.005839922342448463,www.cnbc.com
6,326,327,17750.0,40.0,569.0,54.4478527607362,29.394223058644215,2647871.0,52.0,18824.0,8097.464831804281,4838.1800288804425,6e-06,0.055341,0.001241076923076923,0.003299144617477012,1e-06,0.066204,0.0012021104294478529,0.0037619805086905773,www.cnn.com
7,324,333,17646.0,40.0,569.0,54.46296296296296,29.484453349792425,2648189.0,52.0,18824.0,7952.519519519519,4881.104849475749,6e-06,0.056676,0.0011838792569659443,0.0033660558310947028,1e-06,0.067693,0.0011169307228915664,0.003814133244007237,www.cnn.com
8,308,309,16814.0,40.0,569.0,54.59090909090909,30.23752088927212,2646942.0,52.0,18824.0,8566.155339805826,4803.758323878581,7e-06,0.054609,0.0013076482084690554,0.0033821887458330272,1e-06,0.065347,0.0012669902597402596,0.0038224710167863818,www.cnn.com
9,54,53,3646.0,52.0,569.0,67.51851851851852,71.35077864226949,449791.0,52.0,24328.0,8486.622641509433,7271.4965083019,1.2e-05,0.402863,0.01116811320754717,0.05570625877820068,1e-06,0.350428,0.011170019230769232,0.049688923820612206,www.express.co.uk
10,59,56,3906.0,52.0,569.0,66.20338983050847,68.34516345449234,449675.0,52.0,21472.0,8029.910714285715,5400.182684710468,8e-06,0.05613,0.002620758620689655,0.007706817809428961,1e-06,0.067563,0.0025596181818181825,0.00926050599267686,www.express.co.uk
11,67,63,4322.0,52.0,569.0,64.50746268656717,64.23710179090273,450010.0,52.0,20044.0,7143.015873015873,5348.133905759797,4e-06,0.057524,0.0023293333333333334,0.0074226780121324715,1e-06,0.068851,0.002293919354838709,0.008914392110419408,www.express.co.uk
12,114,114,6818.0,40.0,569.0,59.80701754385965,49.961025020657196,687441.0,52.0,11636.0,6030.184210526316,4187.756844725461,7e-06,0.184035,0.009070336283185841,0.02699101855763804,1e-06,0.184011,0.008963407079646017,0.027288696140473485,www.news18.com
13,103,102,6172.0,40.0,569.0,59.922330097087375,52.28535754994185,686775.0,52.0,27564.0,6733.088235294118,6657.085886263444,6e-06,0.055914,0.0027777745098039215,0.008062159294705435,1e-06,0.067435,0.0026863267326732664,0.00885049871827448,www.news18.com
14,96,94,5808.0,40.0,569.0,60.5,54.13161348922982,686357.0,52.0,33356.0,7301.670212765957,7727.571236336263,9e-06,0.103528,0.0029539368421052626,0.01110580801165378,1e-06,0.115131,0.0028873225806451608,0.012330088826120762,www.news18.com
15,15,14,1464.0,40.0,557.0,97.6,129.68246935165467,5870.0,40.0,2960.0,419.2857142857143,799.2136932463854,5e-06,0.088949,0.013886714285714289,0.024384348941415338,1e-06,0.11387,0.013090999999999998,0.03185004975663304,www.nypost.com
16,16,12,1504.0,40.0,557.0,94.0,126.11000488991083,5767.0,40.0,2960.0,480.5833333333333,852.18622146841,3e-06,0.054236,0.010541599999999996,0.01642065118249404,1e-06,0.078917,0.012131000000000003,0.024470840806968607,www.nypost.com
17,16,12,1504.0,40.0,557.0,94.0,126.11000488991083,5768.0,40.0,2960.0,480.6666666666667,852.144389529181,2e-06,0.055725,0.010706466666666666,0.016780544380181416,1e-06,0.080674,0.012336454545454545,0.024936791795913266,www.nypost.com
18,162,166,9251.0,40.0,569.0,57.10493827160494,41.798036749147954,1314329.0,52.0,17380.0,7917.644578313253,5197.205152206515,5e-06,0.057817,0.0015654285714285713,0.004860739610278313,0.0,0.068609,0.0014586242424242425,0.005490985445511886,www.nytimes.com
