,num_pkts_uplink,num_pkts_downlink,total_bytes_uplink,min_pkt_size_uplink,max_pkt_size_uplink,mean_pkt_size_uplink,std_pkt_size_uplink,total_bytes_downlink,min_pkt_size_downlink,max_pkt_size_downlink,mean_pkt_size_downlink,std_pkt_size_downlink,min_iat_uplink,max_iat_uplink,mean_iat_uplink,std_iat_uplink,min_iat_downlink,max_iat_downlink,mean_iat_downlink,std_iat_downlink,website
0,66,65,4231.0,40.0,569.0,64.10606060606061,64.8321213805623,573013.0,52.0,39040.0,8815.584615384616,9369.559464517775,6e-06,0.089473,0.002579153846153846,0.011001336660593181,1e-06,0.09196,0.0025732187499999996,0.011400388878731703,www.bbc.co.uk
1,46,47,3191.0,40.0,569.0,69.3695652173913,77.31648054749523,579635.0,52.0,39040.0,12332.659574468085,12472.990529586574,6e-06,0.056596,0.0026395111111111114,0.008412611648920659,0.0,0.058164,0.0025392608695652174,0.008553472044691772,www.bbc.co.uk
2,43,44,3035.0,40.0,569.0,70.5813953488372,79.88599989334192,571631.0,52.0,56368.0,12991.613636363636,15659.430595273312,4e-06,0.055132,0.0025895,0.008471817673623644,1e-06,0.056333,0.0024846511627906976,0.008564353662777453,www.bbc.co.uk
3,51,52,3451.0,40.0,569.0,67.66666666666667,73.53411906500727,571910.0,52.0,56368.0,10998.26923076923,13955.549997403006,6e-06,0.054587,0.00224576,0.007667609811860457,1e-06,0.057237,0.002139745098039216,0.007946750613535416,www.bbc.co.uk
4,46,45,3191.0,40.0,569.0,69.3695652173913,77.31648054749523,571522.0,52.0,47704.0,12700.488888888889,13857.03944935606,6e-06,0.058279,0.003033822222222222,0.008923505291921414,0.0,0.059685,0.003060545454545456,0.009171885425238356,www.bbc.co.uk
5,48,48,3295.0,40.0,569.0,68.64583333333333,75.7348368598256,579639.0,52.0,53480.0,12075.8125,13712.472503366602,5e-06,0.056171,0.002382021276595744,0.008118374439690235,1e-06,0.05826,0.002328234042553191,0.008425330890709655,www.bbc.co.uk
6,64,65,4127.0,40.0,569.0,64.484375,65.81672296480126,580506.0,52.0,36152.0,8930.861538461539,8891.087884921835,7e-06,0.054909,0.001979888888888889,0.0068468857651492595,0.0,0.057498,0.0018992500000000001,0.007117268987559052,www.bbc.co.uk
7,43,44,3035.0,40.0,569.0,70.5813953488372,79.88599989334192,579843.0,52.0,56368.0,13178.25,16394.005122583752,7e-06,0.086361,0.003764,0.013272490456837,1e-06,0.087604,0.0036309767441860463,0.013323496694415958,www.bbc.co.uk
8,47,47,3243.0,40.0,569.0,69.0,76.51342593183296,579641.0,52.0,56368.0,12332.787234042553,15927.596240400644,5e-06,0.056843,0.0025494347826086955,0.008407214887364237,1e-06,0.05842,0.002504086956521739,0.008625179296883145,www.bbc.co.uk
9,45,45,3139.0,40.0,569.0,69.75555555555556,78.14530624988866,579505.0,52.0,56368.0,12877.888888888889,16491.663493499625,6e-06,0.057128,0.0025328636363636356,0.008524651952496657,1e-06,0.059087,0.0024807727272727273,0.008821501113792042,www.bbc.co.uk
10,125,173,7314.0,40.0,569.0,58.512,47.49900100817063,2083142.0,52.0,56524.0,12041.283236994219,14649.805089409296,7e-06,0.088851,0.0012274274193548387,0.008019172156018347,1e-06,0.090439,0.0008730348837209302,0.0069471508467619245,www.cnbc.com
11,133,172,7730.0,40.0,569.0,58.1203007518797,46.0633683412228,2083152.0,52.0,56524.0,12111.348837209302,15338.97822391128,3e-06,0.056181,0.0012388787878787877,0.00559593590536482,0.0,0.058125,0.0009418304093567251,0.005071714339516577,www.cnbc.com
12,146,187,8406.0,40.0,569.0,57.57534246575342,43.984767836218545,2083918.0,52.0,56524.0,11143.946524064171,13188.224096711501,4e-06,0.066676,0.0011734,0.007275150458925232,1e-06,0.059125,0.0009019247311827956,0.005614307839192904,www.cnbc.com
13,164,242,9926.0,40.0,569.0,60.52439024390244,42.21787648281165,2086750.0,52.0,56524.0,8622.933884297521,9712.31778981631,5e-06,0.055529,0.0006785521472392639,0.004435172427164883,0.0,0.056595,0.0004527676348547718,0.003740426916914895,www.cnbc.com
14,184,272,10394.0,40.0,569.0,56.48913043478261,39.20047801794453,2088298.0,52.0,32926.0,7677.566176470588,7480.36695747493,4e-06,0.054654,0.0006647158469945356,0.00413433718542277,0.0,0.056657,0.00043976752767527666,0.003519551536222594,www.cnbc.com
15,144,197,8314.0,40.0,569.0,57.736111111111114,44.26414453103653,2084410.0,52.0,56524.0,10580.761421319798,11042.192337636636,4e-06,0.063609,0.0011905104895104893,0.007053916971868605,0.0,0.062235,0.0008585765306122448,0.006053760278284361,www.cnbc.com
16,139,175,8042.0,40.0,569.0,57.856115107913666,45.06815469272004,2083268.0,52.0,56524.0,11904.388571428572,13337.90891940702,4e-06,0.078533,0.0009299855072463769,0.006739535169902875,0.0,0.079859,0.000727189655172414,0.006106814034003649,www.cnbc.com
17,130,184,7634.0,40.0,569.0,58.723076923076924,46.820457892686825,2083826.0,52.0,56524.0,11325.141304347826,15008.656944228604,5e-06,0.084517,0.0012805193798449612,0.007521972548288089,0.0,0.08655,0.0008895300546448088,0.006517100792911745,www.cnbc.com
18,140,199,8094.0,40.0,569.0,57.81428571428572,44.908473782480485,2084501.0,52.0,56524.0,10474.879396984925,12422.85994965796,5e-06,0.055899,0.001111611510791367,0.0049489956608266515,0.0,0.057543,0.0007701666666666666,0.004285720886887592,www.cnbc.com
